EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,HGNC_ID_status,HGNC_ID_source,Entrez_ID,Entrez_ID_status,Entrez_ID_source,UniProt_ID,UniProt_ID_status,UniProt_ID_source,OpenTargets_target_ID,OpenTargets_target_ID_status,OpenTargets_target_ID_source,ChEMBL_target_ID,ChEMBL_target_ID_status,ChEMBL_target_ID_source,ChEMBL_mapping_basis,ChEMBL_matched_UniProt_ID,current_HGNC_symbol,symbol_qc_status,one_to_many_fields,ambiguous_mapping,ambiguous_fields,mapping_note
ENSG00000272323.1,ENSG00000272323,CTD-2517O10.6,antisense,HGNC:55215,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,101929704,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000272323,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,TTC23L-AS1,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000205138.3,ENSG00000205138,SDHAF1,protein_coding,HGNC:33867,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,644096,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,A6NFY7,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000205138,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,SDHAF1,MATCH,NONE,FALSE,NONE,
ENSG00000266651.1,ENSG00000266651,RP11-138I1.3,lincRNA,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000266651,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000224614.1,ENSG00000224614,TNK2-AS1,antisense,HGNC:49093,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,100128262,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000224614,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,TNK2-AS1,MATCH,NONE,FALSE,NONE,
ENSG00000235776.2,ENSG00000235776,AC000089.3,processed_pseudogene,HGNC:36752,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,728139,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000235776,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,RPL7AP70,MISMATCH_CURRENT_HGNC,NONE,FALSE,NONE,registry symbol differs from current HGNC symbol; symbol was not used for mapping
ENSG00000277218.1,ENSG00000277218,RP11-500G10.5,sense_intronic,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000277218,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,NOT_FOUND,NOT_ASSESSED_NO_HGNC_MAPPING,NONE,FALSE,NONE,
ENSG00000262664.2,ENSG00000262664,OVCA2,protein_coding,HGNC:24203,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,124641,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q8WZ82,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000262664,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,OVCA2,MATCH,NONE,FALSE,NONE,
ENSG00000132361.16,ENSG00000132361,CLUH,protein_coding,HGNC:29094,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,23277,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,O75153,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000132361,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,CHEMBL4295673,UNIQUE,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,O75153,CLUH,MATCH,NONE,FALSE,NONE,
ENSG00000107854.5,ENSG00000107854,TNKS2,protein_coding,HGNC:15677,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,80351,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,Q9H2K2,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000107854,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,CHEMBL3038515|CHEMBL6154,ONE_TO_MANY,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,Q9H2K2,TNKS2,MATCH,ChEMBL_target_ID,FALSE,NONE,one-to-many fields retained without choosing a preferred identifier
ENSG00000214711.9,ENSG00000214711,CAPN14,protein_coding,HGNC:16664,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,440854,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,A8MX76,UNIQUE,HGNC_COMPLETE_SET_EXACT_ENSEMBL,ENSG00000214711,UNIQUE,OPEN_TARGETS_PLATFORM_GRAPHQL_EXACT_ENSEMBL,NOT_FOUND,NOT_FOUND,CHEMBL_TARGET_COMPONENT_API_VIA_HGNC_UNIPROT,EXACT_HGNC_UNIPROT_TO_CHEMBL_COMPONENT_ACCESSION,NOT_FOUND,CAPN14,MATCH,NONE,FALSE,NONE,
