EnsemblID,EnsemblID_base,Symbol,gene_type,HGNC_ID,UniProt_ID,OpenTargets_target_ID,ChEMBL_target_ID,U0_tested,U1_DE,U2_effect_supported_DE,effect_band,biotype_track,retrieval_queue,logFC_S0,FDR_S0,P_value_S0,AveExpr_S0,mean_logCPM_Tumor,mean_logCPM_Normal,logFC_S1,FDR_S1,logFC_S2,FDR_S2,logFC_S3,FDR_S3,logFC_S4,FDR_S4,logFC_S5,FDR_S5,logFC_S6,FDR_S6,sign_S0,sign_concordant_S1_S6_count,sign_concordant_all_S1_S6,n_sensitivity_FDR05,median_abs_delta_logFC_vs_S0,max_abs_delta_logFC_vs_S0,S6_sign_flip_vs_S0,model_dependent_any_top50,model_dependent_models,reduced_residual_df_any,reduced_residual_df_models,max_residual_df_loss
ENSG00000108878.4,ENSG00000108878,CACNG1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_A_CANONICAL,-2.00593647911447,2.01459607113633e-16,3.07163637948707e-17,-4.76465558337452,-3.93015064858422,-2.7090656205433,-1.99468054302598,1.98766307025426e-14,-2.01269898643072,1.22021561892088e-23,-1.92579775626412,6.82122573283757e-16,-1.8927255454524,6.52303557582961e-13,-1.97530024317345,2.2520639514443e-22,-1.84057965053482,5.96715855066064e-11,DOWN,6,TRUE,6,0.055387479395685002,0.16535682857965006,FALSE,FALSE,,TRUE,S6,2
ENSG00000163132.6,ENSG00000163132,MSX1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,-1.35307048229165,2.02455996967715e-16,3.0875120796772e-17,-0.0286092445855008,-0.111982262987744,1.16222180176571,-1.35894554310755,1.4840989730098e-14,-1.32988765090467,6.43770578231017e-20,-1.2306164360026,3.05288015644311e-14,-1.27297613272518,2.24841636948191e-13,-1.35701703490262,7.28929777741295e-25,-1.3166790544379,1.17424220527054e-10,DOWN,6,TRUE,6,0.029787129620365005,0.12245404628904999,FALSE,FALSE,,FALSE,,0
ENSG00000282772.1,ENSG00000282772,RP11-753C18.12,antisense,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-0.654390059173827,2.03706601192326e-16,3.10727221166164e-17,0.848749234705558,0.788151110295365,1.58455570498367,-0.678021743193205,2.69987578741097e-15,-0.741855285168673,2.09227365702109e-19,-0.702594950919854,5.75623180866986e-16,-0.651482114596704,1.92344248701771e-14,-0.611201645566619,3.27325364974917e-23,-0.528070477355049,5.46455620354292e-07,DOWN,6,TRUE,6,0.045696652676617489,0.126319581818778,FALSE,FALSE,,FALSE,,0
ENSG00000126264.9,ENSG00000126264,HCST,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,-1.15467055996954,2.05906024016142e-16,3.14151695764681e-17,3.06468708665704,2.94304276700533,4.18035677089546,-1.16938434148015,1.10598073821423e-14,-1.2172681704522,5.0162404497367e-22,-1.10981779009994,1.63909933635951e-14,-1.1575275325541,2.28067165893279e-14,-1.01936761487206,1.50166120236344e-20,-1.03849727322605,8.45631913847477e-10,DOWN,6,TRUE,6,0.053725190176129978,0.13530294509747987,FALSE,FALSE,,FALSE,,0
ENSG00000160767.20,ENSG00000160767,FAM189B,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,canonical_protein_target,QUEUE_A_CANONICAL,0.741127616726285,2.07909761763335e-16,3.17279032509203e-17,4.91525831779899,4.99412271379929,4.23899867541383,0.74584424745472,2.34912329960083e-14,0.739286225459312,1.24965124379916e-16,0.731758891488145,1.40418616122013e-15,0.725996970121227,1.0605323728366e-14,0.665787525237738,6.3530439554871e-21,0.77407928756762,4.45621346786904e-13,UP,6,TRUE,6,0.012249685921599029,0.075340091488547034,FALSE,FALSE,,FALSE,,0
ENSG00000108883.12,ENSG00000108883,EFTUD2,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,C,canonical_protein_target,QUEUE_A_CANONICAL,0.501793908942753,2.08108096040878e-16,3.1765199149116e-17,6.56067828178487,6.60599721603261,6.16882906665827,0.496162178856802,5.3610724300945e-14,0.455658597719398,2.9280968230855e-15,0.48622129017546,1.40655001524443e-15,0.531083995818655,1.01641425580338e-16,0.485379422001675,6.69425303881329e-25,0.540734610987003,6.12858272122669e-12,UP,6,TRUE,6,0.022852286908489977,0.046135311223355013,FALSE,FALSE,,FALSE,,0
ENSG00000164330.16,ENSG00000164330,EBF1,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,-1.07870771014141,2.09796579300029e-16,3.20300121068746e-17,1.8366578905828,1.72022027892902,2.97394986973599,-1.13868185101388,8.13151919431301e-16,-1.1921463045837,1.02740302059699e-23,-1.00387716362378,2.10279716721969e-15,-0.95688530091308,9.49745014370534e-13,-1.06809511943278,6.27688687746902e-24,-0.862461645957884,7.97942832905928e-09,DOWN,6,TRUE,6,0.094134570479959989,0.21624606418352599,FALSE,FALSE,,FALSE,,0
ENSG00000131480.8,ENSG00000131480,AOC2,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,B,canonical_protein_target,QUEUE_A_CANONICAL,-1.29339641483993,2.10750929394882e-16,3.21828329323198e-17,-0.247128970080692,-0.298743136403883,0.718060744092952,-1.28778262213005,3.82367919345015e-14,-1.12401101309198,1.89265803751925e-15,-1.13346685602011,1.37258068987816e-12,-1.23652910975202,2.46716683994685e-13,-1.34295814490289,1.07823979177818e-28,-1.2970495724987,5.26839491833149e-16,DOWN,6,TRUE,6,0.05321451757543505,0.16938540174794992,FALSE,FALSE,,FALSE,,0
ENSG00000237189.1,ENSG00000237189,RP11-85G21.2,lincRNA,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,noncanonical_target_modality,QUEUE_C_NONCANONICAL,-2.02683472182654,2.1323747055027e-16,3.25697440325719e-17,-4.92286861759181,-3.98505320930518,-2.76990756977077,-2.05491508498847,8.71588202433693e-15,-1.98410546915097,3.41399930587407e-21,-1.99084732308446,3.8900520936391e-15,-2.01900553344382,1.70051809286816e-13,-2.00965119524085,1.56556758215422e-21,-1.72792908917268,9.67771582664258e-07,DOWN,6,TRUE,6,0.032033880952004878,0.29890563265385994,FALSE,FALSE,,TRUE,S6,2
ENSG00000166922.8,ENSG00000166922,SCG5,protein_coding,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,NOT_RETRIEVED,TRUE,TRUE,TRUE,A,canonical_protein_target,QUEUE_A_CANONICAL,2.50224038618761,2.13743922108459e-16,3.26543187089292e-17,2.03236723321185,2.29802984451001,-0.0940270484082639,2.57609403105488,8.74741869306504e-15,2.38278706938024,8.79217462129932e-15,2.49594574794742,2.49109058217364e-17,2.46758771436478,3.9377072744713e-16,2.66322575692317,1.10160245410743e-26,2.43613675856926,7.20601750252018e-12,UP,6,TRUE,6,0.069978636242809866,0.16098537073556018,FALSE,FALSE,,FALSE,,0
