"batch_number","tissue_source_site","n_tumor","n_normal","total","both_groups_represented"
"406","Albert Einstein Medical Center",1,0,1,FALSE
"406","Candler",5,0,5,FALSE
"406","International Genomics Consortium",1,0,1,FALSE
"406","Johns Hopkins",3,0,3,FALSE
"406","Mary Bird Perkins Cancer Center - Our Lady of the Lake",1,0,1,FALSE
"406","Washington University - Alabama",1,0,1,FALSE
"406","Washington University - Rush University",1,0,1,FALSE
"423","Johns Hopkins",8,0,8,FALSE
"423","Roswell Park",1,0,1,FALSE
"52","Christiana Healthcare",6,3,9,TRUE
"52","Cureline",2,0,2,FALSE
"52","Indivumed",3,0,3,FALSE
"58","Christiana Healthcare",1,1,2,TRUE
"58","Indivumed",14,0,14,FALSE
"58","Johns Hopkins",7,0,7,FALSE
"58","Roswell Park",7,0,7,FALSE
"58","UNC",6,3,9,TRUE
"84","CHI-Penrose Colorado",1,0,1,FALSE
"84","Christiana Healthcare",2,1,3,TRUE
"84","Cureline",1,0,1,FALSE
"84","Fox Chase",6,0,6,FALSE
"84","Indivumed",6,0,6,FALSE
"84","International Genomics Consortium",1,0,1,FALSE
"84","Ontario Institute for Cancer Research (OICR)",2,0,2,FALSE
"84","Ontario Institute for Cancer Research (OICR)/Ottawa",1,0,1,FALSE
"84","University of Pittsburgh",7,2,9,TRUE
