release_candidate_id,partition_strategy_version,partition_id,artifact_role,relative_path,artifact_id,schema_version,profile_count,provenance_link_count,file_size_bytes,sha256,generator_version,storage_reference_status,storage_reference,validation_status
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p90,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p90/profile_provenance_links.csv,ART_F609B0BC30BE5953615499E9,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,116,4060,2491119,b2363e670a11813333a90196b17d0d70184957227a3e57a6169762a526d261e5,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p90/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p91,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p91/profiles.jsonl,ART_CC1AB024F70115CA22BA6E4E,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,120,0,2283003,9a4463ff4d8fb4c5732500a177f074532273edf46b19de4fde1072a68506efff,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p91/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p91,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p91/profile_provenance_links.csv,ART_A884319EAE1A4DB53C1ED421,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,120,4200,2576562,c3efec7bf17efe928ebd28c246e3f7f779391f750e53ba8ecbe795ffe59f020e,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p91/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p92,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p92/profiles.jsonl,ART_CC90309417E51EC280189833,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,134,0,2549363,890dc82f800fb6e2e86da04aa203e857965d1fb1c62f9c0e75febc89f6ca6c66,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p92/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p92,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p92/profile_provenance_links.csv,ART_5CCE2E00DEBEAEB0D0FC79A2,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,134,4690,2876400,48e949cef476b47a81e7225668e528e8a5c161042a638a3a2502de9ce07cbf81,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p92/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p93,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p93/profiles.jsonl,ART_B29EC52D60AC2B7BD6927292,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,125,0,2378174,a40c7c9913c825f7b1f7ff95152a133c4508a2cf2005713e81ac8727ab1a7f73,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p93/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p93,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p93/profile_provenance_links.csv,ART_15EAF87CAAC98EFB69581EF5,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,125,4375,2685072,85e55be641d6fcb1d6efaef48859e4ae3d48e368196473bef9c3be76bcbce0eb,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p93/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p94,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p94/profiles.jsonl,ART_CC5945364D707B50696C68A2,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,126,0,2397228,48bc510e4d74c1a25458ca07f53915acf58e63f54ded4d6c64080e7d1e0acaf1,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p94/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p94,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p94/profile_provenance_links.csv,ART_A47DFAC11615710179B01808,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,126,4410,2706004,c15e3acc04b6330e9daf15b25640cec356a4c8c850964e1f084b7f170a1e8efc,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p94/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p95,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p95/profiles.jsonl,ART_4CE3B2DDE15E4FCA7A108A49,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,109,0,2073795,2d5eedeaa099c1b49c518888b9264adbb3ed81cb64f7fd30b2dbdba4ab234a87,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p95/profiles.jsonl,PASS
