"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000081870.11","HSPB11","protein_coding",0.396657551283681,3.90384574628759,4.65573635185444,4.04007212524199e-06,9.4077690215443e-06,2.77036901163657,3.95578211676791,3.47498817705433
"ENSG00000142327.12","RNPEPL1","protein_coding",-0.345620759203944,6.62164557726922,-4.65555317774206,4.04353083488102e-06,9.41508249292076e-06,2.53729748246056,6.59608059835966,6.84854924243239
"ENSG00000258304.1","RP11-453D16.1","processed_pseudogene",0.523459411621082,-2.26068766832009,4.65466852161942,4.06027508362192e-06,9.45332684222322e-06,3.32038261812169,-2.03072601448997,-2.51326201116899
"ENSG00000100353.17","EIF3D","protein_coding",0.276265518878358,7.23135308805139,4.65448654989958,4.06372758964899e-06,9.46062113856633e-06,2.54226937544576,7.24808673525968,7.08766876024248
"ENSG00000259925.1","CTA-363E6.2","lincRNA",-1.11393645076734,-0.254476426982903,-4.65439109779901,4.06553970738339e-06,9.46409565787016e-06,3.089328244494,-0.256009600728551,0.650169363854104
"ENSG00000085382.11","HACE1","protein_coding",-0.383812821727763,3.0167526491965,-4.65432463725939,4.06680189112624e-06,9.46555506302183e-06,2.81657442602111,2.97159038109403,3.4568083320202
"ENSG00000151445.15","VIPAS39","protein_coding",0.275190223571602,4.2935514389157,4.65432441744276,4.06680606639322e-06,9.46555506302183e-06,2.69381443101051,4.31678688828305,4.1088210082874
"ENSG00000034053.14","APBA2","protein_coding",1.15558506397912,3.15085898311525,4.65415926502641,4.06994418831792e-06,9.47211442805914e-06,2.90996334215301,3.29365046074181,1.97170166361104
"ENSG00000237181.1","AC147651.4","antisense",-0.624950307903872,-0.451116536551449,-4.65409356811741,4.07119316630975e-06,9.47427644095004e-06,3.1087870321157,-0.457457748789642,0.173153314917713
"ENSG00000211641.3","IGLV11-55","IG_V_gene",1.3260084713819,-4.12171709780344,4.65397510606221,4.07344620466604e-06,9.47877452922604e-06,3.57896204874361,-3.30814133486443,-4.13700884671944
"ENSG00000165887.11","ANKRD2","protein_coding",-0.941553938521612,-2.98702504476088,-4.65345730995992,4.08330827783894e-06,9.50097649117413e-06,3.35524402883668,-2.70987491766191,-1.93586634966876
"ENSG00000269807.1","AC007292.4","antisense",-0.349034356864992,-2.2656622474426,-4.65336930550482,4.08498671206324e-06,9.50400190570338e-06,3.27682423390376,-2.1199755866661,-1.88928848061275
"ENSG00000100105.17","PATZ1","protein_coding",0.3513061103758,5.40019115948212,4.65335547416013,4.08525056583062e-06,9.50400190570338e-06,2.58295795944056,5.44489797533684,5.01849310085947
"ENSG00000111912.19","NCOA7","protein_coding",-0.67057080225069,6.71040546793035,-4.65285925609928,4.09472751446815e-06,9.52530076163622e-06,2.5303418885135,6.63584075112923,7.36556914703423
"ENSG00000130487.5","KLHDC7B","protein_coding",1.02623554205647,1.59947354752106,4.6525013905201,4.10157526590584e-06,9.5404806192967e-06,3.01722867872091,1.73060192396166,0.628148254251028
"ENSG00000266472.5","MRPS21","protein_coding",0.447046323176793,5.64169691944563,4.65199050635908,4.11137009588513e-06,9.56251261362049e-06,2.56354590856613,5.69987560930875,5.14145767624211
"ENSG00000232267.1","ACTR3P2","processed_pseudogene",0.470703578622714,-1.21300841882049,4.65193761218336,4.11238548250203e-06,9.56412290612373e-06,3.17519336376627,-1.09103144414249,-1.40720238003799
"ENSG00000137494.13","ANKRD42","protein_coding",-0.332845703985748,3.5743052259573,-4.65179786020858,4.11506940024206e-06,9.56961312258004e-06,2.73305374761286,3.54469926120555,3.86345832233846
"ENSG00000198039.11","ZNF273","protein_coding",0.504285647802374,2.53436970545017,4.65078616673351,4.13454909358334e-06,9.61415806351151e-06,2.89405607458335,2.59621583709476,2.06058022928846
"ENSG00000170035.15","UBE2E3","protein_coding",0.404738020797728,5.10959352369748,4.65037943445796,4.14240548208216e-06,9.63167020360674e-06,2.59143373261585,5.13954365606332,4.85900456122438
"ENSG00000131797.12","CLUHP3","transcribed_unprocessed_pseudogene",-0.69221061814992,3.40499501579054,-4.65028671618598,4.14419842297369e-06,9.63508233945021e-06,2.79273866648361,3.39058854591505,3.57469498371141
"ENSG00000103642.11","LACTB","protein_coding",-0.348849861858194,4.23630876838508,-4.65003174366199,4.14913280336043e-06,9.64579707705448e-06,2.64372395783841,4.19363037956912,4.62838330907817
