category,scope,metric,value,denominator,percent,status,detail
DESCRIPTIVE_COVERAGE,ALL_TESTED,OPEN_TARGETS_ID_MAPPED,28893,29606,97.591704,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,CHEMBL_ID_MAPPED,5963,29606,20.141188,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,OPEN_TARGETS_TARGET_PRESENT,28893,29606,97.591704,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,LUAD_DIRECT_ASSOCIATION_PRESENT,8393,29606,28.348983,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,LUAD_INDIRECT_ASSOCIATION_PRESENT,8406,29606,28.392893,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,OPEN_TARGETS_DRUG_CANDIDATE_COUNT_NONZERO,1443,29606,4.874012,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,CHEMBL_TARGET_PRESENT,5963,29606,20.141188,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,TRACTABILITY_RECORD_PRESENT,16894,29606,57.062758,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,SAFETY_RECORD_PRESENT,898,29606,3.033169,INFO,
DESCRIPTIVE_COVERAGE,ALL_TESTED,TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,27995,29606,94.558535,INFO,
MISSINGNESS_STATE,ALL_TESTED,HGNC_ID_status::AMBIGUOUS,1,29606,0.003378,INFO,
MISSINGNESS_STATE,ALL_TESTED,HGNC_ID_status::NOT_FOUND,5132,29606,17.334324,INFO,
MISSINGNESS_STATE,ALL_TESTED,HGNC_ID_status::UNIQUE,24473,29606,82.662298,INFO,
MISSINGNESS_STATE,ALL_TESTED,Entrez_ID_status::AMBIGUOUS,1,29606,0.003378,INFO,
MISSINGNESS_STATE,ALL_TESTED,Entrez_ID_status::NOT_FOUND,5338,29606,18.030129,INFO,
MISSINGNESS_STATE,ALL_TESTED,Entrez_ID_status::UNIQUE,24267,29606,81.966493,INFO,
MISSINGNESS_STATE,ALL_TESTED,UniProt_ID_status::NOT_FOUND,11907,29606,40.218199,INFO,
MISSINGNESS_STATE,ALL_TESTED,UniProt_ID_status::ONE_TO_MANY,44,29606,0.148619,INFO,
MISSINGNESS_STATE,ALL_TESTED,UniProt_ID_status::UNIQUE,17655,29606,59.633182,INFO,
MISSINGNESS_STATE,ALL_TESTED,OpenTargets_target_ID_status::NOT_FOUND,713,29606,2.408296,INFO,
MISSINGNESS_STATE,ALL_TESTED,OpenTargets_target_ID_status::UNIQUE,28893,29606,97.591704,INFO,
MISSINGNESS_STATE,ALL_TESTED,ChEMBL_target_ID_status::NOT_FOUND,23643,29606,79.858812,INFO,
MISSINGNESS_STATE,ALL_TESTED,ChEMBL_target_ID_status::ONE_TO_MANY,1465,29606,4.948321,INFO,
MISSINGNESS_STATE,ALL_TESTED,ChEMBL_target_ID_status::UNIQUE,4498,29606,15.192866,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_target_retrieval_status::NOT_MAPPED,713,29606,2.408296,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_target_retrieval_status::PRESENT,28893,29606,97.591704,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_luad_direct_association_status::NOT_MAPPED,713,29606,2.408296,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_luad_direct_association_status::NO_ASSOCIATION_RETURNED,20500,29606,69.242721,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_luad_direct_association_status::PRESENT,8393,29606,28.348983,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_luad_indirect_association_status::NOT_MAPPED,713,29606,2.408296,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_luad_indirect_association_status::NO_ASSOCIATION_RETURNED,20487,29606,69.198811,INFO,
MISSINGNESS_STATE,ALL_TESTED,ot_luad_indirect_association_status::PRESENT,8406,29606,28.392893,INFO,
MISSINGNESS_STATE,ALL_TESTED,chembl_target_retrieval_status::NOT_MAPPED,23643,29606,79.858812,INFO,
MISSINGNESS_STATE,ALL_TESTED,chembl_target_retrieval_status::PRESENT,5963,29606,20.141188,INFO,
MISSINGNESS_STATE,ALL_TESTED,tractability_retrieval_status::TARGET_NOT_MAPPED,713,29606,2.408296,INFO,
MISSINGNESS_STATE,ALL_TESTED,tractability_retrieval_status::TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,11999,29606,40.528947,INFO,
MISSINGNESS_STATE,ALL_TESTED,tractability_retrieval_status::TRACTABILITY_RECORD_PRESENT,16894,29606,57.062758,INFO,
MISSINGNESS_STATE,ALL_TESTED,safety_retrieval_status::SAFETY_RECORD_PRESENT,898,29606,3.033169,INFO,
MISSINGNESS_STATE,ALL_TESTED,safety_retrieval_status::TARGET_NOT_MAPPED,713,29606,2.408296,INFO,
MISSINGNESS_STATE,ALL_TESTED,safety_retrieval_status::TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,27995,29606,94.558535,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,U0_TESTED_TRUE,14064,14064,100.000000,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,U1_DE_TRUE,14064,14064,100.000000,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,U2_EFFECT_SUPPORTED_DE_TRUE,14064,14064,100.000000,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,SIGN_CONCORDANT_ALL_S1_S6_TRUE,14049,14064,99.893345,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,S6_SIGN_FLIP_TRUE,15,14064,0.106655,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,MODEL_DEPENDENT_ANY_TOP50_TRUE,175,14064,1.244312,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,HGNC_ID_MAPPED,11647,14064,82.814278,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,ENTREZ_ID_MAPPED,11544,14064,82.081911,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,UNIPROT_ID_MAPPED,8441,14064,60.018487,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS_ID_MAPPED,13691,14064,97.347838,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,CHEMBL_ID_MAPPED,2767,14064,19.674346,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS_TARGET_PRESENT,13691,14064,97.347838,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,LUAD_DIRECT_ASSOCIATION_PRESENT,4871,14064,34.634528,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,LUAD_INDIRECT_ASSOCIATION_PRESENT,4877,14064,34.677190,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,OPEN_TARGETS_DRUG_CANDIDATE_COUNT_NONZERO,815,14064,5.794937,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,CHEMBL_TARGET_PRESENT,2767,14064,19.674346,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,TRACTABILITY_RECORD_PRESENT,8014,14064,56.982366,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,SAFETY_RECORD_PRESENT,520,14064,3.697383,INFO,
DESCRIPTIVE_COVERAGE,U2_EFFECT_SUPPORTED_DE,TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,13171,14064,93.650455,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,HGNC_ID_status::AMBIGUOUS,1,14064,0.007110,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,HGNC_ID_status::NOT_FOUND,2417,14064,17.185722,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,HGNC_ID_status::UNIQUE,11646,14064,82.807167,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,Entrez_ID_status::AMBIGUOUS,1,14064,0.007110,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,Entrez_ID_status::NOT_FOUND,2520,14064,17.918089,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,Entrez_ID_status::UNIQUE,11543,14064,82.074801,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,UniProt_ID_status::NOT_FOUND,5623,14064,39.981513,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,UniProt_ID_status::ONE_TO_MANY,21,14064,0.149317,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,UniProt_ID_status::UNIQUE,8420,14064,59.869170,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID_status::NOT_FOUND,373,14064,2.652162,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,OpenTargets_target_ID_status::UNIQUE,13691,14064,97.347838,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID_status::NOT_FOUND,11297,14064,80.325654,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID_status::ONE_TO_MANY,715,14064,5.083902,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ChEMBL_target_ID_status::UNIQUE,2052,14064,14.590444,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_target_retrieval_status::NOT_MAPPED,373,14064,2.652162,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_target_retrieval_status::PRESENT,13691,14064,97.347838,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_luad_direct_association_status::NOT_MAPPED,373,14064,2.652162,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_luad_direct_association_status::NO_ASSOCIATION_RETURNED,8820,14064,62.713311,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_luad_direct_association_status::PRESENT,4871,14064,34.634528,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_luad_indirect_association_status::NOT_MAPPED,373,14064,2.652162,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_luad_indirect_association_status::NO_ASSOCIATION_RETURNED,8814,14064,62.670648,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,ot_luad_indirect_association_status::PRESENT,4877,14064,34.677190,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,chembl_target_retrieval_status::NOT_MAPPED,11297,14064,80.325654,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,chembl_target_retrieval_status::PRESENT,2767,14064,19.674346,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,tractability_retrieval_status::TARGET_NOT_MAPPED,373,14064,2.652162,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,tractability_retrieval_status::TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,5677,14064,40.365472,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,tractability_retrieval_status::TRACTABILITY_RECORD_PRESENT,8014,14064,56.982366,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,safety_retrieval_status::SAFETY_RECORD_PRESENT,520,14064,3.697383,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,safety_retrieval_status::TARGET_NOT_MAPPED,373,14064,2.652162,INFO,
MISSINGNESS_STATE,U2_EFFECT_SUPPORTED_DE,safety_retrieval_status::TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,13171,14064,93.650455,INFO,
