category,scope,metric,value,denominator,percent,status,detail
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_OC,256,14064,1.820250,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_PR,64112,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_PR_VALUE_FALSE,53883,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_PR_VALUE_TRUE,10229,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_PR,5749,14064,40.877418,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_SM,64112,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_SM_VALUE_FALSE,58589,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,ASSESSMENT_RECORD_MODALITY_SM_VALUE_TRUE,5523,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
TRACTABILITY,U2_EFFECT_SUPPORTED_DE,TARGET_WITH_TRUE_MODALITY_SM,2760,14064,19.624573,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,TARGET_STATUS_SAFETY_RECORD_PRESENT,520,14064,3.697383,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,TARGET_STATUS_TARGET_NOT_MAPPED,373,14064,2.652162,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,TARGET_STATUS_TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,13171,14064,93.650455,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,SOURCE_LIABILITY_RECORD_COUNT,2558,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_AOP-Wiki,144,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_Bowes et al. (2012),229,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_Brennan et al. (2024),94,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_ClinPGx,843,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_Force et al. (2011),17,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_Lamore et al. (2017),13,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_Lynch et al. (2017),835,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_ToxCast,210,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
SAFETY,U2_EFFECT_SUPPORTED_DE,DATASOURCE_RECORD_COUNT_Urban et al. (2012),173,NOT_APPLICABLE,NOT_APPLICABLE,INFO,
