EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,tractability_retrieval_status,tractability_record_count,tractability_true_assessment_count,tractability_true_SM_count,tractability_true_AB_count,tractability_true_PR_count,tractability_true_OC_count,tractability_true_assessment_ids_by_modality_json,safety_retrieval_status,safety_liability_record_count,source_name,source_release
ENSG00000227986.1,ENSG00000227986,TRIM60P18,unprocessed_pseudogene,FALSE,ENSG00000227986,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000272923.1,ENSG00000272923,RP11-391L3.1,lincRNA,FALSE,NOT_FOUND,TARGET_NOT_MAPPED,0,0,0,0,0,0,{},TARGET_NOT_MAPPED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000253649.3,ENSG00000253649,PRSS51,protein_coding,FALSE,ENSG00000253649,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000112739.16,ENSG00000112739,PRPF4B,protein_coding,FALSE,ENSG00000112739,TRACTABILITY_RECORD_PRESENT,28,6,3,0,3,0,"{""PR"":[""Database Ubiquitination"",""Small Molecule Binder"",""UniProt Ubiquitination""],""SM"":[""Druggable Family"",""High-Quality Ligand"",""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000189423.11,ENSG00000189423,USP32P3,transcribed_unprocessed_pseudogene,FALSE,ENSG00000189423,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000259216.2,ENSG00000259216,RP11-227D13.2,processed_pseudogene,FALSE,ENSG00000259216,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000280029.3,ENSG00000280029,CH17-140K24.2,antisense,FALSE,ENSG00000280029,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000255539.1,ENSG00000255539,CTA-797E19.2,antisense,FALSE,ENSG00000255539,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000257556.1,ENSG00000257556,RP11-44N21.1,lincRNA,FALSE,ENSG00000257556,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000205853.10,ENSG00000205853,RFPL3S,protein_coding,FALSE,ENSG00000205853,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000105136.20,ENSG00000105136,ZNF419,protein_coding,FALSE,ENSG00000105136,TRACTABILITY_RECORD_PRESENT,28,2,0,0,2,0,"{""PR"":[""Database Ubiquitination"",""UniProt Ubiquitination""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000160014.16,ENSG00000160014,CALM3,protein_coding,FALSE,ENSG00000160014,TRACTABILITY_RECORD_PRESENT,28,4,2,1,1,0,"{""AB"":[""GO CC high conf""],""PR"":[""UniProt Ubiquitination""],""SM"":[""Druggable Family"",""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000279569.1,ENSG00000279569,RP11-394B2.1,TEC,FALSE,ENSG00000279569,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000273059.1,ENSG00000273059,XXyac-YX155B6.7,lincRNA,FALSE,ENSG00000273059,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000230612.3,ENSG00000230612,AC004237.1,antisense,FALSE,ENSG00000230612,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000213275.2,ENSG00000213275,IFITM9P,processed_pseudogene,FALSE,ENSG00000213275,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000107537.13,ENSG00000107537,PHYH,protein_coding,FALSE,ENSG00000107537,TRACTABILITY_RECORD_PRESENT,28,3,1,0,2,0,"{""PR"":[""Database Ubiquitination"",""Half-life Data""],""SM"":[""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000260971.3,ENSG00000260971,RP11-504A18.1,lincRNA,FALSE,ENSG00000260971,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
