external_provenance_link_id,external_evidence_id,EnsemblID,publication_id,PMID,PMCID,DOI,source_location,dataset_or_cohort,model_system,raw_payload_path,raw_payload_sha256,source_entity,identifier_reconciliation,provenance_status
EXTPROV_A34F5D9A411EA5CB5A54,EXT_39904499_01,ENSG00000099953.9,PUB_PMID_39904499,39904499,PMC11967273,10.1111/cas.70006,Abstract/Results,MODEL_ALK_ALECTINIB,ALK-rearranged NSCLC/host stromal models,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:39904499,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_27B476AF479E0F29503A,EXT_40826767_01,ENSG00000099953.9,PUB_PMID_40826767,40826767,PMC12366952,10.1097/MD.0000000000043906,Abstract/Results,GSE76925|GSE18842|GSE10072,Human GEO transcriptomes,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:40826767,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_E45CA41B927AEBE53C95,EXT_41804162_01,ENSG00000099953.9,PUB_PMID_41804162,41804162,PMC12972608,10.1002/jbt.70772,Abstract/Results,MODEL_CIRSIMARIN_A549,A549 LUAD cells in 2D culture,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:41804162,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_2E2FEDBAFFD6929F89AF,EXT_41654000_01,ENSG00000099953.9,PUB_PMID_41654000,41654000,NOT_AVAILABLE,10.1016/j.rmed.2026.108704,Abstract/Results,COHORT_NINTEDANIB_NON_TUMOUR,Non-tumour lung from NSCLC patients with interstitial pneumonia,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:41654000,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_7EDBA067DAC5BF37E2AA,EXT_10741738_01,ENSG00000099953.9,PUB_PMID_10741738,10741738,NOT_AVAILABLE,NOT_AVAILABLE,Abstract/Results,COHORT_2000_NSCLC_119,Human NSCLC tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:10741738,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_B11EA53D0579D7D58114,EXT_10741738_02,ENSG00000099953.9,PUB_PMID_10741738,10741738,NOT_AVAILABLE,NOT_AVAILABLE,Abstract/Results,COHORT_2000_NSCLC_119,Human NSCLC tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:10741738,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_5E1C400F9AC1AAE19479,EXT_9137088_01,ENSG00000099953.9,PUB_PMID_9137088,9137088,PMC1858196,NOT_AVAILABLE,Abstract/Results,COHORT_1997_LUNG_89,89 human lung carcinomas,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:9137088,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_B85602F3A060442EFC72,EXT_9137088_02,ENSG00000099953.9,PUB_PMID_9137088,9137088,PMC1858196,NOT_AVAILABLE,Abstract/Results,COHORT_1997_LUNG_89,Non-NE NSCLC,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:9137088,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_224CA6655B6A1C806295,EXT_7664289_01,ENSG00000099953.9,PUB_PMID_7664289,7664289,NOT_AVAILABLE,NOT_AVAILABLE,Abstract/Results,COHORT_1995_NSCLC,Stage I-III NSCLC tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:7664289,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_EC9CD859BFAB59A42678,EXT_7664289_02,ENSG00000099953.9,PUB_PMID_7664289,7664289,NOT_AVAILABLE,NOT_AVAILABLE,Abstract/Results,COHORT_1995_NSCLC,Human NSCLC tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:7664289,COMPLETE_PRIMARY_SOURCE_TRACE
