EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,ChEMBL_target_ID,ot_target_retrieval_status,ot_target_approved_name,ot_target_approved_symbol,ot_target_biotype,ot_literature_occurrence_count,ot_literature_filtered_count,ot_drug_clinical_candidate_record_count,ot_target_annotation_source,ot_luad_disease_id,ot_luad_disease_name,ot_luad_direct_association_status,ot_luad_direct_association_count,ot_luad_direct_association_score_native,ot_luad_direct_datasource_scores_native_json,ot_luad_direct_datatype_scores_native_json,ot_luad_indirect_association_status,ot_luad_indirect_association_count,ot_luad_indirect_association_score_native,ot_luad_association_source,chembl_target_retrieval_status,chembl_target_record_count,chembl_target_annotations_json,chembl_target_annotation_source
ENSG00000279813.1,ENSG00000279813,WI2-1959D15.4,TEC,TRUE,ENSG00000279813,NOT_FOUND,PRESENT,,ENSG00000279813,,0,0,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000255642.1,ENSG00000255642,PABPC1P4,processed_pseudogene,TRUE,ENSG00000255642,NOT_FOUND,PRESENT,poly(A) binding protein cytoplasmic 1 pseudogene 4,PABPC1P4,processed_pseudogene,5,5,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000181322.13,ENSG00000181322,NME9,protein_coding,TRUE,ENSG00000181322,NOT_FOUND,PRESENT,NME/NM23 family member 9,NME9,protein_coding,67,67,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000254427.1,ENSG00000254427,RP11-430H10.1,lincRNA,TRUE,NOT_FOUND,NOT_FOUND,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000217889.3,ENSG00000217889,KRT18P48,processed_pseudogene,TRUE,ENSG00000217889,NOT_FOUND,PRESENT,keratin 18 pseudogene 48,KRT18P48,processed_pseudogene,1,1,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000174740.7,ENSG00000174740,PABPC5,protein_coding,TRUE,ENSG00000174740,NOT_FOUND,PRESENT,poly(A) binding protein cytoplasmic 5,PABPC5,protein_coding,94,94,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000222018.1,ENSG00000222018,C21orf140,protein_coding,TRUE,ENSG00000222018,NOT_FOUND,PRESENT,chromosome 21 open reading frame 140,C21orf140,protein_coding,2,2,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000100226.15,ENSG00000100226,GTPBP1,protein_coding,FALSE,ENSG00000100226,NOT_FOUND,PRESENT,GTP binding protein 1,GTPBP1,protein_coding,3066,3066,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
ENSG00000015171.19,ENSG00000015171,ZMYND11,protein_coding,FALSE,ENSG00000015171,CHEMBL4739854,PRESENT,zinc finger MYND-type containing 11,ZMYND11,protein_coding,468,468,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,PRESENT,1,"[{""organism"":""Homo sapiens"",""pref_name"":""Zinc finger MYND domain-containing protein 11"",""species_group_flag"":false,""target_chembl_id"":""CHEMBL4739854"",""target_type"":""SINGLE PROTEIN"",""tax_id"":9606}]",CHEMBL_TARGET_API
ENSG00000051825.14,ENSG00000051825,MPHOSPH9,protein_coding,TRUE,ENSG00000051825,NOT_FOUND,PRESENT,M-phase phosphoprotein 9,MPHOSPH9,protein_coding,292,292,0,OPEN_TARGETS_PLATFORM_GRAPHQL,MONDO_0005061,lung adenocarcinoma,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NO_ASSOCIATION_RETURNED,0,NOT_FOUND,OPEN_TARGETS_PLATFORM_GRAPHQL,NOT_MAPPED,NOT_AVAILABLE,NOT_AVAILABLE,CHEMBL_TARGET_API
